,window_size,lstm_units,dropout,learning_rate,batch_size,val_loss,rmse,epochs
184,45,"[64, 32]",0.4,0.0005,32,0.00540965935215354,0.07355038913639375,38
185,45,"[64, 32]",0.4,0.0005,64,0.005780902225524187,0.07603224561537518,50
186,45,"[64, 32]",0.4,0.0001,16,0.006991949863731861,0.08361787701800495,41
187,45,"[64, 32]",0.4,0.0001,32,0.0068978904746472836,0.08305354167967463,50
188,45,"[64, 32]",0.4,0.0001,64,0.008137596771121025,0.09020862930342405,50
189,45,"[128, 64]",0.2,0.001,16,0.0035703075118362904,0.0597520484274853,50
190,45,"[128, 64]",0.2,0.001,32,0.004981680307537317,0.07058101960155275,24
191,45,"[128, 64]",0.2,0.001,64,0.004349838942289352,0.065953308519824,46
192,45,"[128, 64]",0.2,0.0005,16,0.0038706851191818714,0.06221483211898719,38
193,45,"[128, 64]",0.2,0.0005,32,0.004287105519324541,0.06547599080016756,44
194,45,"[128, 64]",0.2,0.0005,64,0.004480253905057907,0.06693469806893454,50
195,45,"[128, 64]",0.2,0.0001,16,0.005123010370880365,0.07157520969358762,50
196,45,"[128, 64]",0.2,0.0001,32,0.005762306973338127,0.07590985969481981,44
197,45,"[128, 64]",0.2,0.0001,64,0.0073110866360366344,0.08550489300711207,50
198,45,"[128, 64]",0.3,0.001,16,0.004127029795199633,0.06424196159675477,32
199,45,"[128, 64]",0.3,0.001,32,0.0044775428250432014,0.06691444426120462,35
200,45,"[128, 64]",0.3,0.001,64,0.004382576793432236,0.0662010332888708,42
201,45,"[128, 64]",0.3,0.0005,16,0.004215261433273554,0.06492504496255369,41
202,45,"[128, 64]",0.3,0.0005,32,0.005025537684559822,0.07089102554928933,29
203,45,"[128, 64]",0.3,0.0005,64,0.0046797278337180614,0.06840853780193994,50
204,45,"[128, 64]",0.3,0.0001,16,0.005261354614049196,0.07253519408472232,39
205,45,"[128, 64]",0.3,0.0001,32,0.00640681991353631,0.08004260996183282,50
206,45,"[128, 64]",0.3,0.0001,64,0.00931553915143013,0.09651704086503331,14
207,45,"[128, 64]",0.4,0.001,16,0.004676446318626404,0.06838454605988631,22
208,45,"[128, 64]",0.4,0.001,32,0.00469321059063077,0.06850701020935968,30
209,45,"[128, 64]",0.4,0.001,64,0.004488377366214991,0.06699535081696059,50
210,45,"[128, 64]",0.4,0.0005,16,0.005304396618157625,0.07283128703573034,22
211,45,"[128, 64]",0.4,0.0005,32,0.004597727674990892,0.06780654629148988,49
212,45,"[128, 64]",0.4,0.0005,64,0.006194969639182091,0.07870812617723438,36
213,45,"[128, 64]",0.4,0.0001,16,0.0075987400487065315,0.08717075669453908,17
214,45,"[128, 64]",0.4,0.0001,32,0.006478681694716215,0.08049025649579729,50
215,45,"[128, 64]",0.4,0.0001,64,0.007231527008116245,0.08503838683358644,50
216,45,"[64, 32, 16]",0.2,0.001,16,0.0063605522736907005,0.07975306885512076,23
217,45,"[64, 32, 16]",0.2,0.001,32,0.007254687137901783,0.08517444909920593,13
218,45,"[64, 32, 16]",0.2,0.001,64,0.0067684585228562355,0.08227064196653869,50
219,45,"[64, 32, 16]",0.2,0.0005,16,0.006736952345818281,0.08207894100563398,19
220,45,"[64, 32, 16]",0.2,0.0005,32,0.007299535442143679,0.08543731941378238,12
221,45,"[64, 32, 16]",0.2,0.0005,64,0.006395615637302399,0.07997259315924295,25
222,45,"[64, 32, 16]",0.2,0.0001,16,0.0073244404047727585,0.0855829458106763,50
223,45,"[64, 32, 16]",0.2,0.0001,32,0.007157161831855774,0.08460001052136575,50
224,45,"[64, 32, 16]",0.2,0.0001,64,0.011714822612702847,0.10823503296949075,50
225,45,"[64, 32, 16]",0.3,0.001,16,0.004877703730016947,0.06984055988038346,32
226,45,"[64, 32, 16]",0.3,0.001,32,0.0060337986797094345,0.07767753162816297,30
227,45,"[64, 32, 16]",0.3,0.001,64,0.008051098324358463,0.08972790788740212,17
228,45,"[64, 32, 16]",0.3,0.0005,16,0.006141617428511381,0.07836847200648858,34
229,45,"[64, 32, 16]",0.3,0.0005,32,0.007918373681604862,0.0889852428116548,11
230,45,"[64, 32, 16]",0.3,0.0005,64,0.007316251751035452,0.08553508807724433,30
231,45,"[64, 32, 16]",0.3,0.0001,16,0.006922917440533638,0.08320406832716234,50
232,45,"[64, 32, 16]",0.3,0.0001,32,0.008333142846822739,0.0912860467952736,50
233,45,"[64, 32, 16]",0.3,0.0001,64,0.009016187861561775,0.09495361408083403,50
234,45,"[64, 32, 16]",0.4,0.001,16,0.0059915827587246895,0.07740531618128202,30
235,45,"[64, 32, 16]",0.4,0.001,32,0.008206321857869625,0.09058874947468652,13
236,45,"[64, 32, 16]",0.4,0.001,64,0.005730165634304285,0.07569785770432245,47
237,45,"[64, 32, 16]",0.4,0.0005,16,0.007775546051561832,0.08817905461490716,15
238,45,"[64, 32, 16]",0.4,0.0005,32,0.007521484512835741,0.08672649564967072,26
